run_type,ranks,total_rounds,rounds_per_task,total_darts,darts_per_task,time_taken,pi_est
SAME ROUND FOR EACH PROCESS,1,100,-1,1000,1000,0.00413165,3.14756
DIVIDE ROUND AMONG PROCESSES,1,100,100,1000,1000,0.00389722,3.14756
SAME ROUND FOR EACH PROCESS,2,100,-1,1000,500,0.00245778,3.14096
DIVIDE ROUND AMONG PROCESSES,2,100,50,1000,500,0.00109152,3.14976
SAME ROUND FOR EACH PROCESS,4,100,-1,1000,250,0.00165107,3.14976
DIVIDE ROUND AMONG PROCESSES,4,100,25,1000,250,0.000279855,3.14816
SAME ROUND FOR EACH PROCESS,8,100,-1,1000,125,0.00334086,3.1568
DIVIDE ROUND AMONG PROCESSES,8,100,12,1000,125,0.000323573,3.17333
SAME ROUND FOR EACH PROCESS,16,100,-1,1000,62,0.00817171,3.14516
DIVIDE ROUND AMONG PROCESSES,16,100,6,1000,62,4.39035e-05,3.1828
SAME ROUND FOR EACH PROCESS,32,100,-1,1000,31,0.00978174,3.16129
DIVIDE ROUND AMONG PROCESSES,32,100,3,1000,31,0.000312173,3.05376
SAME ROUND FOR EACH PROCESS,64,100,-1,1000,15,0.0235906,3.17333
DIVIDE ROUND AMONG PROCESSES,64,100,1,1000,15,0.00188462,2.4
SAME ROUND FOR EACH PROCESS,1,100,-1,1000000,1000000,3.5225,3.14165
DIVIDE ROUND AMONG PROCESSES,1,100,100,1000000,1000000,3.53579,3.14165
SAME ROUND FOR EACH PROCESS,2,100,-1,1000000,500000,1.81116,3.14146
DIVIDE ROUND AMONG PROCESSES,2,100,50,1000000,500000,0.905665,3.14153
SAME ROUND FOR EACH PROCESS,4,100,-1,1000000,250000,1.07265,3.14153
DIVIDE ROUND AMONG PROCESSES,4,100,25,1000000,250000,0.268007,3.14166
SAME ROUND FOR EACH PROCESS,8,100,-1,1000000,125000,0.497012,3.14158
DIVIDE ROUND AMONG PROCESSES,8,100,12,1000000,125000,0.0599952,3.14278
SAME ROUND FOR EACH PROCESS,16,100,-1,1000000,62500,0.265754,3.14166
DIVIDE ROUND AMONG PROCESSES,16,100,6,1000000,62500,0.0152769,3.14158
SAME ROUND FOR EACH PROCESS,32,100,-1,1000000,31250,0.140478,3.14249
DIVIDE ROUND AMONG PROCESSES,32,100,3,1000000,31250,0.00468534,3.14667
SAME ROUND FOR EACH PROCESS,64,100,-1,1000000,15625,0.080933,3.14254
DIVIDE ROUND AMONG PROCESSES,64,100,1,1000000,15625,0.00244772,3.1616
SAME ROUND FOR EACH PROCESS,1,100,-1,1000000000,1000000000,3546.18,3.14159
DIVIDE ROUND AMONG PROCESSES,1,100,100,1000000000,1000000000,3551.84,3.14159
SAME ROUND FOR EACH PROCESS,2,100,-1,1000000000,500000000,1862.75,3.14159
DIVIDE ROUND AMONG PROCESSES,2,100,50,1000000000,500000000,931.565,3.14157
SAME ROUND FOR EACH PROCESS,4,100,-1,1000000000,250000000,991.155,3.14157
DIVIDE ROUND AMONG PROCESSES,4,100,25,1000000000,250000000,247.54,3.14158
SAME ROUND FOR EACH PROCESS,8,100,-1,1000000000,125000000,529.454,3.14158
DIVIDE ROUND AMONG PROCESSES,8,100,12,1000000000,125000000,63.5321,3.14161
SAME ROUND FOR EACH PROCESS,16,100,-1,1000000000,62500000,247.232,3.14158
DIVIDE ROUND AMONG PROCESSES,16,100,6,1000000000,62500000,14.8269,3.14163
SAME ROUND FOR EACH PROCESS,32,100,-1,1000000000,31250000,123.688,3.14162
DIVIDE ROUND AMONG PROCESSES,32,100,3,1000000000,31250000,3.7084,3.1416
SAME ROUND FOR EACH PROCESS,64,100,-1,1000000000,15625000,64.7211,3.14162
DIVIDE ROUND AMONG PROCESSES,64,100,1,1000000000,15625000,0.647209,3.14144